date,produto_cat,uf_cat,vendas,faturamento
2021-07-05,1,2,2,840.0
2023-05-01,1,2,1,480.0
2023-06-26,1,2,1,520.0
2023-08-28,1,2,1,510.0
2024-10-28,1,2,3,1470.0
2020-05-18,1,3,1,319.0
2020-06-15,1,3,1,322.0
2020-07-27,1,3,1,322.0
2020-09-21,1,3,1,319.0
2020-10-19,1,3,1,340.0
2020-10-26,1,3,1,319.0
2020-11-30,1,3,1,330.0
2020-12-14,1,3,1,330.0
2021-10-11,1,3,2,850.0
2021-11-08,1,3,3,1275.0
2022-02-21,1,3,1,440.0
2022-03-14,1,3,1,440.0
2022-08-22,1,3,2,990.0
2023-02-27,1,3,1,630.0
2023-07-24,1,3,2,1040.0
2023-10-02,1,3,1,520.0
2023-12-11,1,3,4,2080.0
2024-08-19,1,3,4,2200.0
2024-12-16,1,3,12,6600.0
2020-06-08,1,4,27,7830.0
2020-07-06,1,4,23,6670.0
2020-07-27,1,4,2,638.0
2020-08-17,1,4,1,367.0
2020-09-14,1,4,2,734.0
2020-10-12,1,4,3,1523.0
2020-12-07,1,4,4,1320.0
2020-12-14,1,4,1,347.0
2021-01-18,1,4,2,738.0
2021-08-02,1,4,2,840.0
2021-08-23,1,4,2,810.0
2021-09-13,1,4,5,2050.0
2022-05-23,1,4,3,1339.5
2022-10-17,1,4,6,2964.0
2023-07-24,1,4,6,2964.0
2024-04-29,1,4,1,550.0
2024-11-11,1,4,4,2200.0
2019-12-30,1,6,1,349.0
2020-01-13,1,6,12,3468.0
2020-05-04,1,6,4,1276.0
2020-05-11,1,6,1,359.0
2020-06-22,1,6,1,319.0
2020-07-13,1,6,2,638.0
2020-07-20,1,6,1,336.54
2020-07-27,1,6,2,600.0
2020-08-24,1,6,1,319.0
2020-09-14,1,6,1,325.0
2020-09-21,1,6,1,309.0
2020-10-05,1,6,3,912.0
2020-10-19,1,6,2,680.0
2020-11-02,1,6,4,1340.0
2021-01-11,1,6,3,1049.0
2021-01-18,1,6,3,1047.0
2021-02-08,1,6,1,349.0
2021-02-15,1,6,1,359.0
2021-03-01,1,6,1,355.0
2021-03-15,1,6,1,350.0
2021-03-22,1,6,1,350.0
2021-04-26,1,6,4,1420.0
2021-05-17,1,6,1,359.0
2021-06-07,1,6,2,700.0
2021-06-21,1,6,10,3260.0
2021-06-28,1,6,1,379.0
2021-07-12,1,6,2,700.0
2021-07-19,1,6,1,364.5
2021-08-16,1,6,5,2045.0
2021-09-20,1,6,3,1070.0
2021-10-04,1,6,4,1680.0
2021-10-18,1,6,1,422.0
2021-11-08,1,6,2,818.0
2021-11-22,1,6,2,829.0
2021-12-06,1,6,2,840.0
2021-12-13,1,6,6,2476.0
2022-01-03,1,6,2,844.0
2022-01-31,1,6,2,850.0
2022-02-07,1,6,1,429.0
2022-02-14,1,6,1,425.0
2022-02-21,1,6,6,2645.0
2022-03-07,1,6,3,1320.0
2022-03-21,1,6,4,1544.0
2022-03-28,1,6,1,425.0
2022-04-04,1,6,1,423.0
2022-04-18,1,6,4,1790.0
2022-04-25,1,6,1,423.0
2022-05-09,1,6,5,2260.0
2022-05-23,1,6,1,470.0
2022-06-13,1,6,5,2360.0
2022-06-20,1,6,2,950.0
2022-07-04,1,6,1,495.0
2022-07-11,1,6,2,950.0
2022-07-25,1,6,2,940.0
2022-08-15,1,6,2,940.0
2022-08-22,1,6,6,2773.75
2022-08-29,1,6,1,698.0
2022-10-10,1,6,7,3746.0
2022-10-17,1,6,2,1040.0
2022-10-24,1,6,8,3960.0
2023-03-13,1,6,2,1040.0
2023-04-17,1,6,2,1040.0
2023-05-22,1,6,1,520.0
2023-05-29,1,6,6,3120.0
2023-06-05,1,6,3,1564.0
2023-06-26,1,6,1,520.0
2023-07-10,1,6,6,3120.0
2023-07-24,1,6,3,1557.0
2023-08-07,1,6,2,1037.0
2023-10-16,1,6,1,520.0
2023-10-23,1,6,3,1560.0
2023-12-11,1,6,4,2074.0
2024-01-15,1,6,2,1040.0
2024-02-05,1,6,7,3670.0
2024-02-19,1,6,2,1040.0
2024-03-11,1,6,6,3120.0
2024-03-25,1,6,10,5350.0
2024-05-13,1,6,1,520.0
2024-06-03,1,6,2,1040.0
2024-07-01,1,6,1,550.0
2024-07-22,1,6,4,2120.0
2024-08-12,1,6,1,550.0
2024-08-19,1,6,2,1040.0
2024-08-26,1,6,2,1100.0
2024-09-02,1,6,7,3640.0
2024-09-16,1,6,3,1560.0
2024-10-07,1,6,1,550.0
2024-10-14,1,6,1,550.0
2024-10-21,1,6,6,3300.0
2024-11-04,1,6,3,1650.0
2024-12-02,1,6,2,1100.0
2020-07-13,2,2,2,650.0
2021-05-17,2,2,2,730.0
2023-06-26,2,2,1,520.0
2023-11-20,2,2,1,490.0
